book_name,is_positive,positive_probs,negative_probs
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.6316364407539368,0.368363618850708
编程不难 : 全彩图解 + 微课 + Python 编程,0,0.16075755655765533,0.8392423987388611
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.6995522975921631,0.3004476726055145
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8632143139839172,0.13678570091724396
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8702107667922974,0.12978924810886383
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.767866313457489,0.23213361203670502
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.90923011302948,0.090769924223423
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8717643022537231,0.12823566794395447
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.7646825909614563,0.2353173941373825
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.743593156337738,0.25640690326690674
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8984140753746033,0.10158596932888031
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8682804703712463,0.13171952962875366
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.7658096551895142,0.23419034481048584
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8180062174797058,0.18199381232261658
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8517577648162842,0.14824225008487701
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8655328750610352,0.13446711003780365
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8566898703575134,0.14331009984016418
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8943162560462952,0.10568368434906006
编程不难 : 全彩图解 + 微课 + Python 编程,1,0.8393093347549438,0.16069063544273376
Python工匠,1,0.753491997718811,0.24650800228118896
Python工匠,1,0.8523513078689575,0.14764875173568726
Python工匠,1,0.7319958209991455,0.2680042088031769
Python工匠,1,0.554558277130127,0.44544172286987305
Python工匠,0,0.17331744730472565,0.8266826272010803
Python工匠,1,0.7251104116439819,0.27488958835601807
Python工匠,1,0.8565945625305176,0.1434054672718048
Python工匠,1,0.9086613655090332,0.09133867919445038
Python工匠,0,0.3918951153755188,0.6081048846244812
Python工匠,0,0.3801303505897522,0.6198696494102478
Python工匠,1,0.5948814749717712,0.40511849522590637
Python工匠,1,0.8771821856498718,0.12281780689954758
Python工匠,1,0.6493488550186157,0.3506511151790619
Python工匠,1,0.8441652059555054,0.15583480894565582
Python工匠,1,0.7078708410263062,0.29212912917137146
Python工匠,1,0.6020803451538086,0.3979196548461914
Python工匠,1,0.8514819741249084,0.14851796627044678
Python工匠,1,0.6222302913665771,0.37776973843574524
Python工匠,1,0.8454400897026062,0.1545598804950714
Python工匠,1,0.8909104466438293,0.10908950120210648
Python工匠,1,0.8480902910232544,0.15190967917442322
Python工匠,1,0.5836366415023804,0.41636332869529724
Python工匠,1,0.7857088446617126,0.21429112553596497
Python工匠,1,0.9024028778076172,0.0975971594452858
Python工匠,1,0.7431609630584717,0.2568390369415283
Python工匠,0,0.46658098697662354,0.5334190130233765
Python工匠,1,0.8631882071495056,0.136811763048172
Python工匠,1,0.7842796444892883,0.21572035551071167
Python工匠,1,0.8274567723274231,0.1725432276725769
Python工匠,1,0.8603459596633911,0.1396540254354477
Python工匠,1,0.857624888420105,0.1423751562833786
Python工匠,1,0.642423689365387,0.35757631063461304
Python工匠,1,0.8155251741409302,0.18447482585906982
Python工匠,0,0.15900519490242004,0.8409948348999023
Python工匠,1,0.8573136329650879,0.14268642663955688
Python工匠,1,0.8775198459625244,0.12248019129037857
Python工匠,1,0.5771340131759644,0.42286601662635803
Python工匠,1,0.5703238248825073,0.4296761453151703
Python工匠,1,0.8620925545692444,0.13790744543075562
Python工匠,1,0.8462158441543579,0.1537841111421585
Python工匠,1,0.9027949571609497,0.09720505774021149
Python工匠,1,0.7406642436981201,0.2593356966972351
Python工匠,1,0.8977646827697754,0.10223531723022461
Python工匠,1,0.5130016803741455,0.4869982898235321
Python工匠,1,0.8002646565437317,0.19973531365394592
Python工匠,1,0.845381498336792,0.1546185463666916
Python工匠,1,0.5529695749282837,0.4470304548740387
Python工匠,1,0.9040032625198364,0.09599677473306656
Python工匠,1,0.794725775718689,0.20527419447898865
Python工匠,0,0.4252980947494507,0.5747019052505493
Python工匠,1,0.7087878584861755,0.2912121117115021
Python工匠,1,0.6838125586509705,0.31618744134902954
Python工匠,1,0.6934576034545898,0.30654236674308777
Python工匠,1,0.8935603499412537,0.10643965750932693
Python工匠,1,0.7500295042991638,0.24997051060199738
Python工匠,1,0.8984344601631165,0.10156551003456116
Python工匠,1,0.801016628742218,0.19898337125778198
Python工匠,1,0.5656813979148865,0.4343186318874359
Python工匠,1,0.6990565061569214,0.3009435534477234
Python工匠,1,0.8681837320327759,0.13181623816490173
Python工匠,1,0.777127742767334,0.22287225723266602
Python工匠,0,0.4866112470626831,0.5133887529373169
Python工匠,1,0.8746036887168884,0.12539632618427277
Python工匠,0,0.22924520075321198,0.7707547545433044
Python工匠,1,0.8763400316238403,0.12365999072790146
Python工匠,1,0.8370245099067688,0.1629754900932312
Python工匠,1,0.8938056230545044,0.10619433969259262
Python工匠,1,0.783785879611969,0.21621409058570862
Python工匠,1,0.6658889651298523,0.3341110348701477
Python工匠,1,0.850510835647583,0.1494891494512558
Python工匠,1,0.7417227029800415,0.2582772970199585
Python工匠,1,0.8715787529945374,0.12842129170894623
Python工匠,1,0.6677775382995605,0.33222246170043945
Python工匠,1,0.6001477837562561,0.3998521864414215
